lamb flux f_syn wei
3705.0 0.9884 0.81889 3.165
3706.0 0.85653 0.81116 3.112
3707.0 0.89005 0.81965 2.534
3708.0 0.9691 0.8355 2.62
3709.0 0.95145 0.84678 3.031
3710.0 1.02377 0.84617 0.0
3711.0 1.01596 0.83545 0.0
3712.0 0.93531 0.82377 0.0
3713.0 1.06587 0.8212 0.0
3714.0 1.10607 0.83246 0.0
3715.0 0.95656 0.85472 0.0
3716.0 1.21745 0.87985 0.0
3717.0 1.07576 0.89883 0.0
3718.0 0.96295 0.90488 0.0
3719.0 1.06862 0.89418 0.0
3720.0 0.94759 0.86752 0.0
3721.0 0.77137 0.83322 0.0
3722.0 0.84891 0.80518 0.0
3723.0 1.14539 0.7953 0.0
3724.0 1.17273 0.80741 0.0
3725.0 1.22702 0.83552 0.0
3726.0 1.51396 0.8674 0.0
3727.0 1.78474 0.89348 0.0
3728.0 1.97944 0.9115 0.0
3729.0 2.06563 0.92183 0.0
3730.0 1.81718 0.92218 0.0
3731.0 1.40803 0.90832 0.0
3732.0 1.29542 0.87862 0.0
3733.0 0.94911 0.83783 0.0
3734.0 0.88099 0.79687 0.0
3735.0 0.85789 0.76918 0.0
3736.0 0.80622 0.76494 0.0
3737.0 0.85807 0.78582 0.0
3738.0 0.91967 0.82474 0.0
3739.0 0.87669 0.87028 0.0
3740.0 1.08181 0.91127 0.0
3741.0 1.26514 0.93995 0.0
3742.0 1.03567 0.95393 0.0
3743.0 0.86627 0.95534 0.0
3744.0 1.13312 0.94775 0.0
3745.0 1.15 0.93322 2.777
3746.0 1.0204 0.91122 3.323
3747.0 1.02878 0.88006 3.312
3748.0 1.05748 0.84002 2.977
3749.0 0.86975 0.79679 2.949
3750.0 0.98426 0.76251 2.766
3751.0 0.86536 0.75041 3.677
3752.0 0.94059 0.76545 4.191
3753.0 0.94496 0.80072 4.364
3754.0 0.92274 0.84319 3.98
3755.0 0.90292 0.88113 3.518
3756.0 0.99928 0.90745 2.835
3757.0 1.00616 0.91937 3.335
3758.0 1.05144 0.91821 3.789
3759.0 1.06972 0.9097 4.025
3760.0 0.86883 0.90149 4.278
3761.0 0.98463 0.89939 3.666
3762.0 1.07805 0.90503 3.068
3763.0 0.99667 0.91506 3.323
3764.0 1.12448 0.92257 3.739
3765.0 1.20305 0.92109 3.379
3766.0 0.8951 0.9077 3.196
3767.0 0.71529 0.88293 3.043
3768.0 0.82688 0.84901 3.851
3769.0 0.77972 0.80933 3.452
3770.0 1.01148 0.77081 3.681
3771.0 0.99125 0.74506 4.053
3772.0 0.97091 0.74278 4.415
3773.0 0.92315 0.76515 4.461
3774.0 0.92604 0.80263 4.0
3775.0 0.81243 0.84298 3.736
3776.0 0.90538 0.87909 3.338
3777.0 1.07421 0.90976 3.41
3778.0 1.17571 0.93595 3.552
3779.0 1.19169 0.95817 3.606
3780.0 1.07078 0.97628 3.599
3781.0 1.02888 0.98996 3.336
3782.0 1.079 0.99895 2.964
3783.0 1.0968 1.00349 3.212
3784.0 1.12126 1.00413 3.762
3785.0 1.07046 1.00109 4.401
3786.0 1.03398 0.99416 4.603
3787.0 1.0444 0.9839 4.193
3788.0 1.02327 0.97248 3.717
3789.0 1.00289 0.9618 3.228
3790.0 0.94057 0.95177 3.775
3791.0 0.86969 0.94091 4.44
3792.0 0.97004 0.92747 4.45
3793.0 0.99418 0.90953 4.394
